States,Male,Female,Total(marginal)
"ANDHRA PRADESH",173,29,202
"ARUNACHAL PRADESH",0,0,0
"ASSAM",52,0,52
"BIHAR",0,0,0
"CHHATTISGARH",326,28,354
"GOA",0,0,0
"GUJARAT",4,0,4
"HARYANA",3,0,3
"HIMACHAL PRADESH",0,0,0
"JAMMU & KASHMIR",0,0,0
"JHARKHAND",0,0,0
"KARNATAKA",205,4,209
"KERALA",0,0,0
"MADHYA PRADESH",150,4,154
"MAHARASHTRA",804,30,834
"MANIPUR",0,0,0
"MEGHALAYA",1,0,1
"MIZORAM",0,0,0
"NAGALAND",0,0,0
"ODISHA",13,0,13
"PUNJAB",18,0,18
"RAJASTHAN",0,0,0
"SIKKIM",1,0,1
"TAMIL NADU",0,0,0
"TELANGANA",276,25,301
"TRIPURA",0,0,0
"UTTAR PRADESH",36,13,49
"UTTARAKHAND",0,0,0
"WEST BENGAL",0,0,0
