States,Male,Female,Total(medium)
"ANDHRA PRADESH",141,8,149
"ARUNACHAL PRADESH",0,0,0
"ASSAM",7,0,7
"BIHAR",0,0,0
"CHHATTISGARH",151,2,153
"GOA",0,0,0
"GUJARAT",15,4,19
"HARYANA",18,0,18
"HIMACHAL PRADESH",0,0,0
"JAMMU & KASHMIR",0,0,0
"JHARKHAND",0,0,0
"KARNATAKA",233,2,235
"KERALA",1,0,1
"MADHYA PRADESH",124,10,134
"MAHARASHTRA",857,42,899
"MANIPUR",1,0,1
"MEGHALAYA",0,0,0
"MIZORAM",0,0,0
"NAGALAND",0,0,0
"ODISHA",3,0,3
"PUNJAB",11,0,11
"RAJASTHAN",1,0,1
"SIKKIM",0,0,0
"TAMIL NADU",0,0,0
"TELANGANA",310,63,373
"TRIPURA",0,0,0
"UTTAR PRADESH",23,7,30
"UTTARAKHAND",0,0,0
"WEST BENGAL",0,0,0
